import time: self [us] | cumulative | imported package
import time:       771 |       4040 |                                           prompt_toolkit.key_binding.key_bindings
import time:       213 |        213 |                                                   wcwidth.table_wide
import time:       175 |        175 |                                                   wcwidth.table_zero
import time:       100 |        100 |                                                   wcwidth.unicode_versions
import time:       260 |        747 |                                                 wcwidth.wcwidth
import time:       125 |        871 |                                               wcwidth
import time:       556 |       1426 |                                             prompt_toolkit.utils
import time:       369 |       1795 |                                           prompt_toolkit.key_binding.key_processor
import time:       100 |       5934 |                                         prompt_toolkit.key_binding
import time:       289 |       6223 |                                       prompt_toolkit.key_binding.vi_state
import time:       381 |       6603 |                                     prompt_toolkit.cursor_shapes
import time:       366 |        366 |                                     prompt_toolkit.data_structures
import time:       503 |        503 |                                       prompt_toolkit.styles.base
import time:       169 |        169 |                                         prompt_toolkit.styles.named_colors
import time:       650 |        650 |                                         prompt_toolkit.styles.style
import time:       343 |       1162 |                                       prompt_toolkit.styles.defaults
import time:       216 |        216 |                                       prompt_toolkit.styles.pygments
import time:       131 |        131 |                                         colorsys
import time:       461 |        591 |                                       prompt_toolkit.styles.style_transformation
import time:       170 |       2640 |                                     prompt_toolkit.styles
import time:       301 |        301 |                                     prompt_toolkit.output.color_depth
import time:       417 |      10324 |                                   prompt_toolkit.output.base
import time:       109 |        109 |                                       prompt_toolkit.output.flush_stdout
import time:       196 |        304 |                                     prompt_toolkit.output.plain_text
import time:       155 |        459 |                                   prompt_toolkit.output.defaults
import time:        96 |      10878 |                                 prompt_toolkit.output
import time:       607 |      11485 |                               prompt_toolkit.output.vt100
import time:       309 |        309 |                                 prompt_toolkit.mouse_events
import time:       319 |        628 |                               prompt_toolkit.formatted_text.base
import time:       411 |      12524 |                             prompt_toolkit.formatted_text.ansi
import time:       115 |        115 |                                   xml
import time:       258 |        258 |                                   xml.dom.domreg
import time:      2451 |       2823 |                                 xml.dom
import time:       182 |        182 |                                 xml.dom.minicompat
import time:       101 |        101 |                                   xml.dom.NodeFilter
import time:       448 |        548 |                                 xml.dom.xmlbuilder
import time:       973 |       4524 |                               xml.dom.minidom
import time:       234 |       4758 |                             prompt_toolkit.formatted_text.html
import time:       397 |        397 |                             prompt_toolkit.formatted_text.pygments
import time:       202 |        202 |                             prompt_toolkit.formatted_text.utils
import time:       169 |      18047 |                           prompt_toolkit.formatted_text
import time:       880 |      18927 |                         prompt_toolkit.completion.base
import time:       178 |        178 |                         prompt_toolkit.completion.deduplicate
import time:       310 |        310 |                         prompt_toolkit.completion.filesystem
import time:       239 |        239 |                           prompt_toolkit.completion.word_completer
import time:       762 |       1000 |                         prompt_toolkit.completion.fuzzy_completer
import time:       254 |        254 |                         prompt_toolkit.completion.nested
import time:       222 |      20890 |                       prompt_toolkit.completion
import time:       357 |        357 |                       prompt_toolkit.history
import time:       508 |        508 |                       prompt_toolkit.search
import time:       578 |        578 |                       prompt_toolkit.validation
import time:      1769 |      30787 |                     prompt_toolkit.buffer
import time:       425 |        425 |                         prompt_toolkit.input.base
import time:       149 |        149 |                         prompt_toolkit.input.defaults
import time:       245 |        818 |                       prompt_toolkit.input
import time:        26 |        844 |                     prompt_toolkit.input.base
import time:       129 |        129 |                     prompt_toolkit.input.typeahead
import time:        93 |         93 |                       prompt_toolkit.key_binding.bindings
import time:       142 |        142 |                       prompt_toolkit.key_binding.bindings.scroll
import time:       170 |        404 |                     prompt_toolkit.key_binding.bindings.page_navigation
import time:       276 |        276 |                                     prompt_toolkit.lexers.base
import time:       364 |        364 |                                     prompt_toolkit.lexers.pygments
import time:       122 |        761 |                                   prompt_toolkit.lexers
import time:       231 |        231 |                                     prompt_toolkit.layout.utils
import time:       799 |       1029 |                                   prompt_toolkit.layout.processors
import time:       933 |       2722 |                                 prompt_toolkit.layout.controls
import time:       218 |        218 |                                 prompt_toolkit.layout.dimension
import time:       281 |        281 |                                 prompt_toolkit.layout.margins
import time:       119 |        119 |                                 prompt_toolkit.layout.mouse_handlers
import time:      2215 |       2215 |                                 prompt_toolkit.layout.screen
import time:      1793 |       7345 |                               prompt_toolkit.layout.containers
import time:       377 |        377 |                               prompt_toolkit.layout.layout
import time:       588 |        588 |                               prompt_toolkit.layout.menus
import time:       284 |        284 |                               prompt_toolkit.layout.scrollable_pane
import time:       184 |       8776 |                             prompt_toolkit.layout
import time:        22 |       8797 |                           prompt_toolkit.layout.controls
import time:       195 |        195 |                           prompt_toolkit.key_binding.bindings.completion
import time:       807 |       9798 |                         prompt_toolkit.key_binding.bindings.named_commands
import time:       196 |       9993 |                       prompt_toolkit.key_binding.bindings.basic
import time:       111 |        111 |                       prompt_toolkit.key_binding.bindings.cpr
import time:       292 |        292 |                       prompt_toolkit.key_binding.bindings.emacs
import time:       359 |        359 |                       prompt_toolkit.key_binding.bindings.mouse
import time:       419 |        419 |                           prompt_toolkit.input.ansi_escape_sequences
import time:       870 |       1289 |                         prompt_toolkit.input.vt100_parser
import time:       505 |        505 |                         prompt_toolkit.key_binding.digraphs
import time:      1007 |       2800 |                       prompt_toolkit.key_binding.bindings.vi
import time:       136 |      13689 |                     prompt_toolkit.key_binding.defaults
import time:       119 |        119 |                     prompt_toolkit.key_binding.emacs_state
import time:       100 |        100 |                     prompt_toolkit.layout.dummy
import time:       702 |        702 |                     prompt_toolkit.renderer
import time:      1242 |      48013 |                   prompt_toolkit.application.application
import time:       201 |        201 |                   prompt_toolkit.application.dummy
import time:       266 |      48479 |                 prompt_toolkit.application
import time:       329 |        329 |                     prompt_toolkit.key_binding.bindings.focus
import time:       374 |        374 |                         prompt_toolkit.widgets.toolbars
import time:       883 |       1257 |                       prompt_toolkit.widgets.base
import time:       265 |        265 |                       prompt_toolkit.widgets.dialogs
import time:       410 |        410 |                       prompt_toolkit.widgets.menus
import time:       147 |       2078 |                     prompt_toolkit.widgets
import time:       519 |       2925 |                   prompt_toolkit.shortcuts.dialogs
import time:       539 |        539 |                       prompt_toolkit.shortcuts.progress_bar.formatters
import time:       865 |       1403 |                     prompt_toolkit.shortcuts.progress_bar.base
import time:       147 |       1549 |                   prompt_toolkit.shortcuts.progress_bar
import time:       130 |        130 |                     prompt_toolkit.key_binding.bindings.auto_suggest
import time:       100 |        100 |                     prompt_toolkit.key_binding.bindings.open_in_editor
import time:      1567 |       1796 |                   prompt_toolkit.shortcuts.prompt
import time:       226 |        226 |                   prompt_toolkit.shortcuts.utils
import time:       186 |       6680 |                 prompt_toolkit.shortcuts
import time:       208 |      55366 |               prompt_toolkit
import time:        83 |      55449 |             prompt_toolkit.auto_suggest
import time:       307 |        307 |             prompt_toolkit.patch_stdout
import time:       903 |        903 |                 unicodedata
import time:       630 |        630 |                   _uuid
import time:       771 |       1401 |                 uuid
import time:       724 |        724 |                 IPython.core.latex_symbols
import time:       206 |        206 |                 IPython.utils.generics
import time:       562 |        562 |                           parso.utils
import time:       461 |       1023 |                         parso.tree
import time:        84 |         84 |                                   parso.python
import time:       329 |        329 |                                   parso.python.token
import time:      1395 |       1807 |                                 parso.python.tokenize
import time:       242 |       2048 |                               parso.pgen2.grammar_parser
import time:      4658 |       6705 |                             parso.pgen2.generator
import time:       161 |       6866 |                           parso.pgen2
import time:        31 |       6897 |                         parso.pgen2.generator
import time:       429 |       8348 |                       parso.parser
